County,Zip,MedianIncome,TreeDBH,Good,Fair,Poor,TreeCount
Flatbush/Midwood,11226,55706.9446,11.463302752293576,3120,460,126,3706
Flatbush/Midwood,11210,55706.9446,13.983381642512075,4341,618,216,5175
Flushing,11354,56879.26184,13.445003594536304,4431,939,194,5564
Flushing,11355,56879.26184,12.932705788103345,4125,662,206,4993
Flushing,11367,56879.26184,13.864531529739407,4357,555,115,5027
Flushing,11358,56879.26184,15.018579562481271,5901,606,167,6674
Flushing,11371,56879.26184,11.85344827586207,98,14,4,116
Flushing,11356,56879.26184,11.254921928038016,2249,587,110,2946
Fresh Meadows/Briarwood,11365,69962.09785,14.84371492704826,5959,925,244,7128
Fresh Meadows/Briarwood,11366,69962.09785,14.883299110198497,2561,312,49,2922
Fresh Meadows/Briarwood,11435,69962.09785,13.103289625028756,3633,557,157,4347
Greenwich Village,10012,137034.3496,8.432038834951456,725,238,67,1030
Greenwich Village,10003,137034.3496,9.077200205867216,1480,361,102,1943
Greenwich Village,10011,137034.3496,8.815196078431372,1769,195,76,2040
Greenwich Village,10014,137034.3496,9.023571713943268,1918,460,125,2503
Howard Beach,11414,75510.69217,12.275964391691394,3487,709,185,4381
Hunts Point,10474,27381.74082,5.970349309504468,2022,328,112,2462
Jackson Heights,11372,60732.76396,11.439619651347067,2510,503,142,3155
Jamaica/St. Albans,11432,65419.78924,12.701889644746789,5579,831,205,6615
Jamaica/St. Albans,11433,65419.78924,12.593085860017002,2962,429,138,3529
Jamaica/St. Albans,11434,65419.78924,12.516149623388229,6797,816,220,7833
Jamaica/St. Albans,11436,65419.78924,14.97054945054945,2014,224,37,2275
Jamaica/St. Albans,11412,65419.78924,14.570593525179856,4112,283,53,4448
Lower East Side,10002,47417.70816,8.459221501390177,1656,387,115,2158
Manhattanville,10027,54614.27762,8.17469244288225,2214,443,188,2845
Midtown Business District,10016,114736.7635,8.307563025210085,1206,445,134,1785
Midtown Business District,10017,114736.7635,7.676108374384237,592,165,55,812
Midtown Business District,10022,114736.7635,8.013341804320204,1172,311,91,1574
Morrisania,10456,26979.00217,8.375599360681939,3042,529,183,3754
Morrisania,10459,26979.00217,8.521649484536082,2436,387,87,2910
Mott Haven,10454,27381.74082,7.868595539481616,1297,302,60,1659
Mott Haven,10455,27381.74082,8.087368421052632,1523,299,78,1900
Mott Haven,10037,27381.74082,8.784522003034901,512,114,33,659
Crown Heights South,11215,125050.9115,11.545040650406504,5007,896,247,6150
Pelham Parkway,10461,51104.05692,11.495910780669146,4780,447,153,5380
Pelham Parkway,10467,51104.05692,11.352047070360385,3388,530,161,4079
Queens Village,11427,90920.2133,14.185176243360695,3056,906,180,4142
Queens Village,11428,90920.2133,13.867304015296368,1907,550,158,2615
Queens Village,11429,90920.2133,13.980227023068473,2289,301,141,2731
Rego Park/Forest Hills,11374,79573.97737,12.893434169817809,2300,482,127,2909
Rego Park/Forest Hills,11375,79573.97737,13.22797389498665,5566,981,195,6742
Ridgewood/Glendale,11385,69883.56942,12.116643929058664,7428,2148,686,10262
Riverdale,10463,69235.14898,11.151984238671544,2896,495,162,3553
Riverdale,10471,69235.14898,13.381374722838135,1505,255,44,1804
Sheepshead Bay,11229,61037.90299,15.235844155844156,4623,857,295,5775
Sheepshead Bay,11235,61037.90299,12.978794877178249,3228,1276,259,4763
South Beach,10305,82874.41499,10.613865862848533,5496,887,252,6635
St. George,10301,62692.60914,13.175462882851704,4776,782,221,5779
Sunnyside/Woodside,11377,67543.42229,12.27750046219264,4435,764,210,5409
Sunset Park,11220,50731.6078,11.489438202247191,3744,535,171,4450
Sunset Park,11232,50731.6078,8.085628442663996,1653,276,68,1997
The Rockaways,11693,58710.09603,7.897334649555775,518,288,207,1013
The Rockaways,11691,58710.09603,8.813315926892951,3761,1258,343,5362
The Rockaways,11694,58710.09603,8.053841309823678,1958,833,385,3176
The Rockaways,11697,58710.09603,4.666666666666667,0,8,16,24
The Rockaways,11692,58710.09603,4.962962962962963,1122,523,218,1863
Throgs Neck,10465,57056.51172,12.18865671641791,4437,459,129,5025
Tottenville,10307,91101.95052,9.68691059977367,4548,578,176,5302
Tottenville,10309,91101.95052,8.871303485874773,9889,1623,593,12105
Tottenville,10314,91101.95052,11.037721984078384,13328,2340,662,16330
Tottenville,10306,91101.95052,13.3464648065948,10446,1801,369,12616
Tottenville,10312,91101.95052,9.823375163888368,16691,3594,1071,21356
Tottenville,10304,91101.95052,11.128450106157112,4738,720,194,5652
Tottenville,10303,91101.95052,8.30586319218241,2318,534,218,3070
Tottenville,10308,91101.95052,11.02527181898325,5223,1246,337,6806
Tottenville,10302,91101.95052,11.391380060949064,2054,177,66,2297
Tottenville,10310,91101.95052,12.069547796222096,3162,253,79,3494
Unionport/Soundview,10462,41268.9323,9.583745059288535,3491,432,125,4048
Unionport/Soundview,10472,41268.9323,9.901544986367767,2852,348,101,3301
Unionport/Soundview,10473,41268.9323,10.087110481586402,3654,453,129,4236
University Heights,10453,27128.20618,7.536534446764092,2249,520,105,2874
Upper East Side,10021,114935.3283,9.348541114058357,1368,350,167,1885
Upper East Side,10028,114935.3283,9.33527696793003,1229,354,132,1715
Upper East Side,10065,114935.3283,8.891316220644457,1217,457,157,1831
Upper East Side,10075,114935.3283,9.795637198622272,647,147,77,871
Upper East Side,10128,114935.3283,9.599803343166174,1502,394,138,2034
Upper West Side,10023,113349.054,8.64275987290059,1756,375,72,2203
Upper West Side,10024,113349.054,11.27205199628598,2763,370,98,3231
Upper West Side,10025,113349.054,9.32997198879552,2796,576,198,3570
Upper West Side,10069,113349.054,4.955357142857143,56,55,1,112
Washington Heights,10033,50828.08559,8.174946004319654,1301,414,137,1852
Washington Heights,10032,50828.08559,8.376447876447877,1481,418,173,2072
Washington Heights,10040,50828.08559,7.581667815299793,1012,337,102,1451
Washington Heights,10039,50828.08559,8.967616580310882,664,92,16,772
Williamsbridge,10466,53255.73583,12.623360399750156,4151,503,149,4803
Williamsbridge,10469,53255.73583,12.75403608736942,5378,731,209,6318
Woodhaven,11421,67837.34297,15.882136279926335,2328,328,59,2715
