10004,{'Good': 97, 'Fair': 17, 'Poor': 3}
10007,{'Good': 274, 'Poor': 15, 'Fair': 49}
10475,{'Good': 1500, 'Fair': 252, 'Poor': 44}
11697,{'Poor': 16, 'Fair': 8},
10039,{'Good': 664, 'Poor': 16, 'Fair': 92}
11379,{'Good': 3916, 'Poor': 115, 'Fair': 636}
11423,{'Fair': 330, 'Good': 2986, 'Poor': 91}
11428,{'Fair': 550, 'Good': 1907, 'Poor': 158}
11040,{'Good': 678, 'Poor': 55, 'Fair': 107}
11378,{'Fair': 703, 'Good': 2995, 'Poor': 99}
10030,{'Fair': 209, 'Good': 1067, 'Poor': 37}
10302,{'Poor': 66, 'Good': 2054, 'Fair': 177}
10455,{'Good': 1523, 'Fair': 299, 'Poor': 78}
10451,{'Poor': 187, 'Good': 1632, 'Fair': 448}
10020,{'Good': 66, 'Fair': 26, 'Poor': 2}
11001,{'Good': 1184, 'Fair': 88, 'Poor': 14}
11005,{'Good': 104, 'Fair': 43, 'Poor': 6}
11436,{'Good': 2014, 'Poor': 37, 'Fair': 224}
11419,{'Good': 1994, 'Fair': 483, 'Poor': 148}
10111,{'Good': 22, 'Fair': 3},
10281,{'Good': 48, 'Fair': 20, 'Poor': 3}
11239,{'Good': 800, 'Fair': 100, 'Poor': 53}
10464,{'Good': 873, 'Fair': 129, 'Poor': 36}
10282,{'Good': 216, 'Fair': 12, 'Poor': 2}
10006,{'Good': 42, 'Fair': 6},
11109,{'Good': 78, 'Poor': 6, 'Fair': 6}
11096,{'Good': 9},,
11430,{'Good': 37},,
11371,{'Good': 98, 'Fair': 14, 'Poor': 4}
11451,{'Good': 7, 'Fair': 1, 'Poor': 1}
11251,{'Good': 47, 'Poor': 19, 'Fair': 26}
